"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2026","63,268.6","63,829.2","64,051.5","62,537.9","53.78K","-0.89%"
"07/16/2026","63,834.6","64,747.8","64,983.3","63,742.7","61.96K","-1.41%"
"07/15/2026","64,749.8","65,029.3","65,556.5","64,482.9","58.82K","-0.41%"
"07/14/2026","65,015.5","62,319.8","65,056.6","62,271.9","65.96K","4.33%"
"07/13/2026","62,319.8","63,776.4","64,392.1","61,815.7","71.75K","-2.28%"
"07/12/2026","63,776.0","63,815.4","64,251.1","63,642.7","44.96K","-0.07%"
"07/11/2026","63,818.6","64,122.2","64,489.8","63,815.7","29.67K","-0.52%"
"07/10/2026","64,154.1","63,206.5","64,673.1","62,955.5","59.08K","1.47%"
"07/09/2026","63,226.7","62,264.6","63,451.2","61,696.6","61.49K","1.52%"
"07/08/2026","62,282.8","63,324.7","63,726.3","61,546.6","61.66K","-1.65%"
"07/07/2026","63,325.1","64,054.8","64,287.9","62,682.8","56.48K","-1.10%"
"07/06/2026","64,028.0","63,635.7","64,600.6","61,332.2","67.51K","0.62%"
"07/05/2026","63,635.1","63,135.3","63,972.2","62,477.1","31.93K","0.79%"
"07/04/2026","63,135.3","62,589.6","63,441.5","62,328.6","33.41K","0.85%"
"07/03/2026","62,602.6","61,546.0","62,894.4","61,239.3","47.53K","1.72%"
"07/02/2026","61,546.2","60,012.1","62,169.3","59,577.5","79.87K","2.55%"
"07/01/2026","60,014.2","58,619.6","61,226.6","57,832.5","76.79K","2.36%"
"06/30/2026","58,630.8","60,218.0","60,231.3","58,189.4","81.12K","-2.61%"
"06/29/2026","60,205.0","59,555.7","60,753.8","58,956.8","63.36K","1.09%"
"06/28/2026","59,557.2","60,011.9","60,489.1","58,941.4","29.75K","-0.76%"
"06/27/2026","60,011.2","60,104.5","60,902.0","59,871.0","32.47K","-0.13%"
"06/26/2026","60,086.4","59,790.1","60,720.1","58,345.0","83.66K","0.52%"
"06/25/2026","59,776.7","61,046.8","61,938.3","58,131.4","87.23K","-2.09%"
"06/24/2026","61,052.5","62,721.3","63,106.2","59,115.8","94.92K","-2.66%"
"06/23/2026","62,721.3","63,990.3","64,258.8","61,969.3","61.89K","-2.01%"
"06/22/2026","64,005.0","63,365.9","65,555.3","63,365.9","51.09K","1.13%"
"06/21/2026","63,291.4","64,263.2","64,560.2","63,276.8","33.17K","-1.58%"
"06/20/2026","64,306.4","63,557.3","64,348.0","63,197.7","36.30K","1.21%"
"06/19/2026","63,539.8","62,914.7","63,625.0","62,314.1","45.60K","0.95%"
"06/18/2026","62,942.7","64,525.2","64,777.8","62,269.7","63.08K","-2.39%"
"06/17/2026","64,483.9","65,710.8","66,395.0","63,932.6","58.68K","-1.79%"
