"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2026","4,005.85","3,990.35","4,012.07","3,963.05","76.28K","0.34%"
"07/16/2026","3,992.10","4,068.90","4,071.90","3,973.40","125.06K","-1.47%"
"07/15/2026","4,051.80","4,059.80","4,089.10","4,023.30","113.03K","-0.44%"
"07/14/2026","4,069.70","4,005.90","4,112.50","3,990.40","151.12K","1.60%"
"07/13/2026","4,005.70","4,106.60","4,111.60","3,992.90","154.81K","-2.63%"
"07/10/2026","4,113.70","4,135.40","4,144.60","4,081.70","98.75K","-0.65%"
"07/09/2026","4,140.80","4,087.60","4,148.40","4,063.40","125.06K","1.43%"
"07/08/2026","4,082.40","4,106.50","4,144.70","4,032.50","170.83K","-1.80%"
"07/07/2026","4,157.40","4,176.40","4,192.40","4,102.70","110.33K","-0.24%"
"07/06/2026","4,167.50","4,138.00","4,215.50","4,133.80","147.56K","-0.47%"
"07/03/2026","4,187.30","4,139.65","4,207.90","4,136.20","54.67K","1.49%"
"07/02/2026","4,125.70","4,049.20","4,157.10","4,042.80","125.51K","1.06%"
"07/01/2026","4,082.40","4,025.00","4,131.00","3,973.00","146.95K","1.09%"
"06/30/2026","4,038.50","4,032.50","4,078.10","3,955.40","125.41K","-0.01%"
"06/29/2026","4,038.90","4,101.10","4,102.90","4,012.00","107.42K","-1.40%"
"06/26/2026","4,096.30","4,044.40","4,111.50","3,998.10","118.97K","1.20%"
"06/25/2026","4,047.60","4,019.00","4,060.00","3,976.30","147.35K","0.97%"
"06/24/2026","4,008.80","4,130.00","4,132.40","3,975.70","189.39K","-3.39%"
"06/23/2026","4,149.40","4,210.80","4,216.00","4,108.20","118.50K","-1.27%"
"06/22/2026","4,202.70","4,231.20","4,238.10","4,138.70","177.66K","0.71%"
"06/19/2026","4,172.90","4,207.47","4,216.90","4,139.20","73.11K","-1.72%"
"06/18/2026","4,245.90","4,275.10","4,350.20","4,220.30","139.53K","-3.09%"
"06/17/2026","4,381.40","4,352.60","4,403.60","4,237.40","160.54K","0.62%"
