"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2026","175,802.80","178,185.45","178,694.48","175,790.63","267.06M","-1.30%"
"07/16/2026","178,123.56","175,672.34","178,431.73","175,672.34","311.88M","1.62%"
"07/15/2026","175,285.78","173,870.27","176,701.38","173,870.27","248.39M","1.02%"
"07/14/2026","173,518.81","178,112.05","178,112.05","173,349.42","409.23M","-3.56%"
"07/13/2026","179,927.05","180,125.80","181,148.27","179,448.52","365.01M","-1.27%"
"07/10/2026","182,241.78","181,880.55","183,477.56","181,880.55","412.98M","0.54%"
"07/09/2026","181,259.69","180,064.80","182,276.81","179,411.36","470.84M","-0.20%"
"07/08/2026","181,629.38","184,405.88","185,215.56","179,504.34","571.94M","-2.48%"
"07/07/2026","186,255.55","188,012.67","188,126.69","186,189.20","395.22M","-0.64%"
"07/06/2026","187,454.69","185,910.39","187,546.36","185,910.39","392.60M","1.12%"
"07/03/2026","185,372.20","184,830.91","185,668.66","184,462.66","314.71M","0.46%"
"07/02/2026","184,520.95","184,840.56","185,890.53","184,214.80","423.48M","0.26%"
"07/01/2026","184,050.09","180,733.45","184,233.58","180,565.84","472.43M","2.08%"
"06/30/2026","180,301.70","179,020.11","180,150.41","179,020.11","296.02M","1.06%"
"06/29/2026","178,414.80","179,457.84","180,272.02","178,331.00","330.97M","-0.64%"
"06/24/2026","179,571.27","178,115.36","179,919.27","177,931.31","436.67M","1.06%"
"06/23/2026","177,692.92","179,307.69","179,405.56","177,674.38","292.03M","-0.44%"
"06/22/2026","178,471.88","180,146.06","180,507.81","178,337.14","230.11M","-0.25%"
"06/19/2026","178,922.77","181,585.16","182,185.88","177,836.16","458.03M","-1.36%"
"06/18/2026","181,398.22","181,087.38","181,869.34","181,045.34","445.72M","0.49%"
"06/17/2026","180,511.02","181,282.13","181,357.70","179,564.17","526.92M","0.07%"
